,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
OK,"3,632","2,938","1,998",68.00%,"2,531","1,042",59,614,"1,540","2,092","2,531","1,957","1,231",62.90%,0,295,400,978,"1,553","1,042","1,042",922,717,77.80%,214,562,480,59,59,59,50,84.70%,59,846,846,816,580,71.10%,331,63,185,661
OR,"7,377","6,615","3,828",57.90%,"2,724","4,610",43,"1,389","3,833","3,544","2,724","2,279",602,26.40%,297,581,377,"1,044","1,680","4,610","4,610","4,293","3,183",74.10%,"1,012","2,789","1,821",43,43,43,43,100.00%,43,"4,920","4,920","4,914","2,945",59.90%,"1,036",541,"1,546","3,374"
PA,"16,363","14,455","11,950",82.70%,"8,148","8,042",173,"2,853","9,156","7,207","8,148","7,012","5,452",77.80%,744,371,"1,114","3,688","4,460","8,042","8,042","7,270","6,325",87.00%,"1,739","5,468","2,574",173,173,173,173,100.00%,173,"9,895","9,895","9,808","8,483",86.50%,"1,725","1,574","5,031","4,864"
PR,"2,053","1,628","1,573",96.60%,618,"1,358",77,171,514,"1,539",618,403,394,97.80%,0,0,36,154,464,"1,358","1,358","1,148","1,111",96.80%,135,360,998,77,77,77,68,88.30%,77,"1,068","1,068","1,068",793,74.30%,423,151,326,742
RI,"1,300","1,170",998,85.30%,767,515,18,270,662,638,767,657,577,87.80%,117,23,138,345,422,515,515,495,404,81.60%,132,317,198,18,18,18,17,94.40%,18,"1,731","1,731","1,731","1,291",74.60%,294,201,652,"1,079"
SC,"3,791","3,295","2,463",74.70%,"1,687","2,092",12,423,"1,580","2,211","1,687","1,234",937,75.90%,458,396,147,713,974,"2,092","2,092","2,049","1,514",73.90%,276,867,"1,225",12,12,12,12,100.00%,12,"1,478","1,478","1,391","1,128",81.10%,275,191,632,846
SD,"1,319",947,307,32.40%,718,601,0,257,713,606,718,346,164,47.40%,0,42,162,451,267,601,601,601,143,23.80%,95,262,339,0,0,0,0,0.00%,0,281,281,281,245,87.20%,121,49,133,148
TN,"6,746","5,957","3,544",59.50%,"3,159","3,563",24,762,"2,405","4,341","3,159","2,615","1,409",53.90%,295,530,348,"1,050","2,109","3,563","3,563","3,318","2,111",63.60%,414,"1,355","2,208",24,24,24,24,100.00%,24,"3,721","3,721","3,627","2,711",74.70%,"1,060",583,"1,402","2,319"
TX,"24,323","19,918","13,434",67.40%,"13,235","10,902",186,"3,409","10,874","13,449","13,235","10,371","7,034",67.80%,183,"1,024","1,538","5,217","8,018","10,902","10,902","9,361","6,230",66.60%,"1,871","5,657","5,245",186,186,186,170,91.40%,186,"9,055","9,055","8,849","5,836",66.00%,"2,592","1,206","3,654","5,401"
UT,"2,954","2,124","1,749",82.30%,"1,501","1,404",49,448,"1,608","1,346","1,501","1,045",839,80.30%,562,181,189,703,798,"1,404","1,404","1,030",861,83.60%,259,905,499,49,49,49,49,100.00%,49,"1,593","1,593","1,593","1,422",89.30%,567,179,599,994
VA,"7,690","6,506","4,854",74.60%,"3,734","3,899",57,"1,351","4,511","3,179","3,734","2,922","2,058",70.40%,"1,062",500,603,"1,893","1,841","3,899","3,899","3,527","2,739",77.70%,748,"2,618","1,281",57,57,57,57,100.00%,57,"2,759","2,759","2,697","1,724",63.90%,783,301,891,"1,868"
VI,195,141,141,100.00%,71,124,0,34,72,123,71,37,37,100.00%,0,0,12,44,27,124,124,104,104,100.00%,22,28,96,0,0,0,0,0.00%,0,52,52,52,35,67.30%,14,17,26,26
VT,805,609,424,69.60%,454,345,6,170,469,336,454,349,264,75.60%,51,17,93,257,197,345,345,254,154,60.60%,77,212,133,6,6,6,6,100.00%,6,493,493,493,375,76.10%,159,39,104,389
WA,"16,669","14,875","12,051",81.00%,"6,269","10,345",55,"3,350","10,690","5,979","6,269","5,395","4,209",78.00%,762,456,824,"2,812","3,457","10,345","10,345","9,425","7,787",82.60%,"2,526","7,878","2,467",55,55,55,55,100.00%,55,"8,599","8,599","8,562","6,098",71.20%,"2,699",801,"2,475","6,124"
WI,"6,692","5,319","4,763",89.50%,"3,324","3,304",64,"1,335","4,029","2,663","3,324","2,425","2,134",88.00%,183,368,586,"1,793","1,531","3,304","3,304","2,830","2,565",90.60%,749,"2,236","1,068",64,64,64,64,100.00%,64,"2,516","2,516","2,511","2,185",87.00%,203,256,873,"1,643"
WV,"1,878","1,571","1,114",70.90%,"1,204",663,11,238,740,"1,138","1,204","1,001",697,69.60%,56,71,120,379,825,663,663,559,406,72.60%,118,361,302,11,11,11,11,100.00%,11,815,815,815,661,81.10%,254,62,168,647
WY,753,521,375,72.00%,514,239,0,141,368,385,514,324,228,70.40%,0,31,90,233,281,239,239,197,147,74.60%,51,135,104,0,0,0,0,0.00%,0,127,127,127,14,11.00%,14,0,0,127
Total,"429,835","375,613","292,160",,"225,840","201,879","2,116","70,789","221,083","208,752","225,840","190,684","150,555",,"18,952","32,567","34,987","110,703","115,137","201,879","201,879","182,822","139,561",,"35,802","110,380","91,499","2,116","2,116","2,107","2,044",,"2,116","267,106","267,106","264,945","183,682",,"67,964","37,213","105,981","161,125"

,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,"1,805","1,363","1,008",74.00%,"1,081",724,0,230,706,"1,099","1,081",714,562,78.70%,0,52,116,433,648,724,724,649,446,68.70%,114,273,451,0,0,0,0,0.00%,0,494,494,494,390,78.90%,49,33,84,410
AL,"4,221","3,681","1,609",43.70%,"1,662","2,525",34,432,"1,350","2,871","1,662","1,355",694,51.20%,73,247,155,481,"1,181","2,525","2,525","2,292",881,38.40%,277,869,"1,656",34,34,34,34,100.00%,34,"2,189","2,189","2,189","1,448",66.10%,466,257,765,"1,424"
AR,"2,700","2,116","1,463",69.10%,"1,480","1,220",0,308,955,"1,745","1,480","1,034",765,74.00%,0,149,146,505,975,"1,220","1,220","1,082",698,64.50%,162,450,770,0,0,0,0,0.00%,0,898,898,888,665,74.90%,96,140,346,552
AZ,"8,914","7,179","6,272",87.40%,"4,111","4,763",40,"1,457","5,102","3,812","4,111","2,838","2,233",78.70%,201,224,547,"1,926","2,185","4,763","4,763","4,301","3,999",93.00%,910,"3,176","1,587",40,40,40,40,100.00%,40,"4,508","4,508","4,436","4,281",96.50%,801,529,"1,621","2,887"
CA,"50,282","45,189","28,935",64.00%,"20,010","30,065",207,"6,483","22,016","28,266","20,010","17,498","10,895",62.30%,"5,764","5,333","1,951","7,196","12,814","30,065","30,065","27,484","17,858",65.00%,"4,532","14,820","15,245",207,207,207,182,87.90%,207,"39,772","39,772","39,700","20,700",52.10%,"10,301","5,747","16,379","23,393"
CO,"6,420","5,625","4,930",87.60%,"2,591","3,804",25,"1,223","3,522","2,898","2,591","1,927","1,603",83.20%,150,385,371,"1,191","1,400","3,804","3,804","3,673","3,302",89.90%,852,"2,331","1,473",25,25,25,25,100.00%,25,"2,634","2,634","2,634","2,205",83.70%,"1,005",297,799,"1,835"
CT,"3,921","3,592","3,283",91.40%,"2,270","1,651",0,537,"1,689","2,232","2,270","2,062","1,984",96.20%,356,328,284,955,"1,315","1,651","1,651","1,530","1,299",84.90%,253,734,917,0,0,0,0,0.00%,0,"4,261","4,261","4,192","3,592",85.70%,"1,589",585,"1,734","2,527"
DC,"6,375","6,300","5,449",86.50%,"3,471","2,879",25,864,"2,661","3,714","3,471","3,413","3,287",96.30%,573,0,321,"1,001","2,470","2,879","2,879","2,862","2,137",74.70%,543,"1,660","1,219",25,25,25,25,100.00%,25,"4,832","4,832","4,796","2,659",55.40%,"2,286",470,"1,632","3,200"
DE,"1,233","1,163",739,63.50%,530,693,10,155,490,743,530,460,304,66.10%,125,155,64,197,333,693,693,693,425,61.30%,91,293,400,10,10,10,10,100.00%,10,365,365,365,283,77.50%,153,14,35,330
FL,"23,362","20,531","14,850",72.30%,"9,418","13,772",172,"2,522","8,955","14,407","9,418","7,667","6,307",82.30%,518,"2,360",916,"3,496","5,922","13,772","13,772","12,692","8,371",66.00%,"1,606","5,459","8,313",172,172,172,172,100.00%,172,"10,258","10,258","9,851","7,547",76.60%,"2,196","1,363","4,245","6,013"
GA,"9,965","8,638","6,865",79.50%,"4,630","5,335",0,"1,192","4,262","5,703","4,630","3,792","3,091",81.50%,379,282,403,"1,432","3,198","5,335","5,335","4,846","3,774",77.90%,789,"2,830","2,505",0,0,0,0,0.00%,0,"4,391","4,391","4,355","3,545",81.40%,694,679,"1,960","2,431"
GU,240,177,172,97.20%,93,147,0,35,147,93,93,38,38,100.00%,0,7,10,39,54,147,147,139,134,96.40%,25,108,39,0,0,0,0,0.00%,0,88,88,88,88,100.00%,55,9,33,55
HI,"4,259","4,055","4,017",99.10%,"1,470","2,764",25,779,"2,941","1,318","1,470","1,306","1,268",97.10%,0,64,202,825,645,"2,764","2,764","2,724","2,724",100.00%,577,"2,116",648,25,25,25,25,100.00%,25,"1,051","1,051","1,051",915,87.10%,344,69,243,808
IA,"3,978","3,235","2,743",84.80%,"1,587","2,391",0,657,"2,180","1,798","1,587","1,098",801,73.00%,68,42,185,691,896,"2,391","2,391","2,137","1,942",90.90%,472,"1,489",902,0,0,0,0,0.00%,0,885,885,885,712,80.50%,161,139,435,450
ID,"1,905","1,510",960,63.60%,981,924,0,330,978,927,981,708,339,47.90%,156,197,150,408,573,924,924,802,621,77.40%,180,570,354,0,0,0,0,0.00%,0,406,406,406,363,89.40%,140,67,180,226
IL,"13,555","12,210","9,078",74.30%,"5,485","7,968",102,"2,222","7,210","6,345","5,485","4,677","2,747",58.70%,812,"1,273",528,"1,843","3,642","7,968","7,968","7,431","6,229",83.80%,"1,694","5,367","2,601",102,102,102,102,100.00%,102,"10,749","10,749","10,715","7,741",72.20%,"2,795","1,237","3,685","7,064"
IN,"7,661","6,179","3,375",54.60%,"3,760","3,876",25,"1,167","3,725","3,936","3,760","2,808","1,541",54.90%,271,399,548,"1,818","1,942","3,876","3,876","3,346","1,809",54.10%,619,"1,907","1,969",25,25,25,25,100.00%,25,"2,529","2,529","2,521","1,589",63.00%,530,481,"1,181","1,348"
KS,"2,787","2,222","1,489",67.00%,"1,622","1,145",20,452,"1,475","1,312","1,622","1,164",798,68.60%,153,114,227,783,839,"1,145","1,145","1,038",671,64.60%,225,692,453,20,20,20,20,100.00%,20,"1,024","1,024","1,024",827,80.80%,296,108,341,683
KY,"5,556","4,720","3,873",82.10%,"2,661","2,883",12,970,"2,543","3,013","2,661","2,169","1,819",83.90%,67,167,288,839,"1,822","2,883","2,883","2,539","2,042",80.40%,682,"1,704","1,179",12,12,12,12,100.00%,12,"2,629","2,629","2,377","1,816",76.40%,368,532,"1,318","1,311"
LA,"5,148","4,350","3,416",78.50%,"1,900","3,223",25,665,"2,149","2,999","1,900","1,364","1,074",78.70%,124,268,226,784,"1,116","3,223","3,223","2,961","2,317",78.30%,439,"1,365","1,858",25,25,25,25,100.00%,25,"2,841","2,841","2,803","2,663",95.00%,553,322,"1,000","1,841"
MA,"15,509","14,461","12,339",85.30%,"10,673","4,812",24,"3,252","9,908","5,601","10,673","10,104","8,949",88.60%,242,"1,191","2,493","7,859","2,814","4,812","4,812","4,333","3,372",77.80%,759,"2,049","2,763",24,24,24,18,75.00%,24,"8,881","8,881","8,719","6,143",70.50%,"3,229",888,"2,298","6,583"
MD,"5,900","5,418","4,725",87.20%,"2,691","3,105",104,871,"2,926","2,974","2,691","2,341","2,031",86.80%,"1,062",573,315,"1,218","1,473","3,105","3,105","2,973","2,590",87.10%,556,"1,708","1,397",104,104,104,104,100.00%,104,"5,166","5,166","5,166","5,059",97.90%,795,"1,164","3,113","2,053"
ME,"2,724","2,358","2,122",90.00%,"1,047","1,677",0,538,"1,584","1,140","1,047",865,794,91.80%,29,107,159,448,599,"1,677","1,677","1,493","1,328",88.90%,379,"1,136",541,0,0,0,0,0.00%,0,"1,870","1,870","1,841","1,651",89.70%,145,248,754,"1,116"
MI,"11,822","9,528","8,531",89.50%,"5,568","6,211",43,"2,030","6,191","5,631","5,568","4,363","3,861",88.50%,"1,001",393,730,"2,292","3,276","6,211","6,211","5,122","4,627",90.30%,"1,300","3,899","2,312",43,43,43,43,100.00%,43,"11,987","11,987","11,811","9,357",79.20%,"1,226","2,485","7,481","4,506"
MN,"7,325","6,496","4,948",76.20%,"3,389","3,926",10,"1,433","4,900","2,425","3,389","2,731","1,928",70.60%,93,705,495,"1,854","1,535","3,926","3,926","3,755","3,010",80.20%,938,"3,046",880,10,10,10,10,100.00%,10,"7,846","7,846","7,835","6,452",82.30%,"1,462","1,360","4,589","3,257"
MO,"7,440","5,639","4,323",76.70%,"3,674","3,719",47,"1,286","4,042","3,398","3,674","2,296","1,803",78.50%,125,474,603,"1,832","1,842","3,719","3,719","3,296","2,473",75.00%,683,"2,210","1,509",47,47,47,47,100.00%,47,"3,934","3,934","3,934","3,875",98.50%,511,916,"2,438","1,496"
MS,"1,376","1,048",486,46.40%,736,640,0,186,539,837,736,476,166,34.90%,0,17,94,276,460,640,640,572,320,55.90%,92,263,377,0,0,0,0,0.00%,0,305,305,248,187,75.40%,142,21,70,235
MT,"1,170",874,460,52.60%,649,521,0,203,602,568,649,476,163,34.20%,6,171,89,279,370,521,521,398,297,74.60%,114,323,198,0,0,0,0,0.00%,0,229,229,229,229,100.00%,47,18,47,182
NC,"9,968","8,611","6,374",74.00%,"5,391","4,577",0,"1,109","3,744","6,224","5,391","4,286","3,480",81.20%,465,554,499,"1,832","3,559","4,577","4,577","4,325","2,894",66.90%,610,"1,912","2,665",0,0,0,0,0.00%,0,"3,328","3,328","3,320","2,807",84.50%,674,584,"1,529","1,799"
ND,850,601,601,100.00%,647,203,0,116,385,465,647,485,485,100.00%,0,38,85,273,374,203,203,116,116,100.00%,31,112,91,0,0,0,0,0.00%,0,480,480,480,455,94.80%,97,74,198,282
NE,"3,490","3,068","2,505",81.60%,"1,620","1,870",0,637,"1,806","1,684","1,620","1,336","1,123",84.10%,0,574,222,713,907,"1,870","1,870","1,732","1,382",79.80%,415,"1,093",777,0,0,0,0,0.00%,0,645,645,645,319,49.50%,57,81,210,435
NH,"1,374","1,213","1,088",89.70%,670,695,9,257,751,623,670,528,522,98.90%,93,26,95,314,356,695,695,676,557,82.40%,162,437,258,9,9,9,9,100.00%,9,870,870,870,785,90.20%,200,155,411,459
NJ,"6,845","5,917","5,763",97.40%,"4,255","2,570",20,"1,302","3,589","3,256","4,255","3,705","3,602",97.20%,271,"6,363",695,"1,941","2,314","2,570","2,570","2,192","2,141",97.70%,607,"1,648",922,20,20,20,20,100.00%,20,"2,791","2,791","2,761","2,549",92.30%,882,272,785,"2,006"
NM,"2,692","1,621",910,56.10%,"1,484","1,208",0,320,"1,400","1,292","1,484",706,300,42.50%,595,25,101,716,768,"1,208","1,208",915,610,66.70%,219,684,524,0,0,0,0,0.00%,0,"1,271","1,271","1,271",840,66.10%,363,175,478,793
NV,"3,971","3,625","2,759",76.10%,"1,479","2,467",25,471,"1,396","2,575","1,479","1,169",979,83.70%,284,420,185,564,915,"2,467","2,467","2,431","1,755",72.20%,286,832,"1,635",25,25,25,25,100.00%,25,"1,830","1,830","1,830",891,48.70%,326,141,356,"1,474"
NY,"63,841","59,519","53,904",90.60%,"50,783","12,918",140,"13,356","41,594","22,247","50,783","47,931","43,839",91.50%,225,"1,918","11,657","36,205","14,578","12,918","12,918","11,448","9,931",86.70%,"1,699","5,389","7,529",140,140,140,134,95.70%,140,"35,514","35,514","35,052","24,885",71.00%,"6,804","4,116","12,277","23,237"
OH,"11,324","10,084","8,683",86.10%,"6,575","4,635",114,"1,542","4,634","6,690","6,575","5,646","4,812",85.20%,295,491,684,"2,173","4,402","4,635","4,635","4,324","3,757",86.90%,858,"2,461","2,174",114,114,114,114,100.00%,114,"11,489","11,489","11,489","8,538",74.30%,"2,749","1,661","4,216","7,273"
OK,"3,633","2,932","1,860",63.40%,"2,518","1,065",50,457,"1,324","2,309","2,518","1,938","1,073",55.40%,0,332,275,812,"1,706","1,065","1,065",944,737,78.10%,182,512,553,50,50,50,50,100.00%,50,608,608,580,492,84.80%,278,61,184,424
OR,"7,640","6,879","3,741",54.40%,"3,026","4,571",43,"1,210","3,584","4,056","3,026","2,516",683,27.10%,369,479,348,"1,050","1,976","4,571","4,571","4,320","3,015",69.80%,862,"2,534","2,037",43,43,43,43,100.00%,43,"4,836","4,836","4,836","2,642",54.60%,858,734,"1,964","2,872"
PA,"15,745","13,913","11,707",84.10%,"7,889","7,683",173,"2,882","9,058","6,687","7,889","6,820","5,309",77.80%,856,682,"1,060","3,482","4,407","7,683","7,683","6,920","6,225",90.00%,"1,822","5,576","2,107",173,173,173,173,100.00%,173,"8,300","8,300","8,218","7,411",90.20%,"1,617","1,375","4,073","4,227"
PR,"2,019","1,635","1,451",88.70%,613,"1,374",32,170,481,"1,538",613,401,396,98.80%,0,0,36,196,417,"1,374","1,374","1,202","1,023",85.10%,134,285,"1,089",32,32,32,32,100.00%,32,"1,256","1,256","1,197",722,60.30%,248,169,370,886
RI,"1,215","1,092",975,89.30%,771,427,17,215,574,641,771,676,610,90.20%,6,23,105,319,452,427,427,399,348,87.20%,110,255,172,17,17,17,17,100.00%,17,"1,321","1,321","1,321","1,114",84.30%,343,216,644,677
SC,"3,508","3,019","2,336",77.40%,"1,542","1,954",12,435,"1,567","1,941","1,542","1,074",890,82.90%,433,414,156,758,784,"1,954","1,954","1,933","1,434",74.20%,279,809,"1,145",12,12,12,12,100.00%,12,"1,300","1,300","1,200","1,029",85.80%,264,204,573,727
SD,"1,379","1,000",348,34.80%,716,663,0,224,643,736,716,337,157,46.60%,0,42,139,405,311,663,663,663,191,28.80%,85,238,425,0,0,0,0,0.00%,0,257,257,257,221,86.00%,145,25,85,172
TN,"6,202","5,491","3,520",64.10%,"3,120","3,058",24,639,"2,074","4,128","3,120","2,623","1,287",49.10%,262,897,268,841,"2,279","3,058","3,058","2,844","2,217",78.00%,371,"1,233","1,825",24,24,24,16,66.70%,24,"2,843","2,843","2,824","2,598",92.00%,816,399,"1,002","1,841"
TX,"22,393","17,980","11,447",63.70%,"12,741","9,470",182,"3,025","10,052","12,341","12,741","9,829","5,613",57.10%,346,"1,807","1,368","4,881","7,860","9,470","9,470","7,969","5,668",71.10%,"1,657","5,171","4,299",182,182,182,166,91.20%,182,"6,550","6,550","6,324","4,931",78.00%,"1,895",930,"2,618","3,932"
UT,"2,922","2,094","1,864",89.00%,"1,410","1,463",49,485,"1,664","1,258","1,410",984,873,88.70%,452,188,178,659,751,"1,463","1,463","1,061",942,88.80%,307,"1,005",458,49,49,49,49,100.00%,49,"1,495","1,495","1,495","1,305",87.30%,579,195,559,936
VA,"7,949","6,736","4,835",71.80%,"3,726","4,002",221,"1,360","4,514","3,435","3,726","2,861","2,084",72.80%,"1,170",434,585,"1,857","1,869","4,002","4,002","3,654","2,695",73.80%,775,"2,657","1,345",221,221,221,56,25.30%,221,"2,164","2,164","2,164","1,751",80.90%,649,192,586,"1,578"
VI,148,116,75,64.70%,61,87,0,8,29,119,61,29,29,100.00%,15,0,7,25,36,87,87,87,46,52.90%,1,4,83,0,0,0,0,0.00%,0,43,43,43,43,100.00%,24,3,6,37
VT,786,668,404,60.50%,395,385,6,152,389,397,395,312,227,72.80%,44,24,74,214,181,385,385,350,171,48.90%,78,175,210,6,6,6,6,100.00%,6,321,321,321,244,76.00%,112,17,44,277
WA,"18,071","16,058","12,603",78.50%,"6,144","11,871",56,"3,646","11,669","6,402","6,144","5,251","3,838",73.10%,936,372,725,"2,533","3,611","11,871","11,871","10,751","8,709",81.00%,"2,921","9,136","2,735",56,56,56,56,100.00%,56,"7,599","7,599","7,556","5,638",74.60%,"2,443",803,"2,500","5,099"
WI,"6,008","4,671","4,034",86.40%,"2,992","2,952",64,"1,162","3,660","2,348","2,992","2,159","1,813",84.00%,186,427,480,"1,647","1,345","2,952","2,952","2,448","2,157",88.10%,682,"2,013",939,64,64,64,64,100.00%,64,"2,039","2,039","2,034","1,824",89.70%,216,252,781,"1,258"
WV,"2,002","1,678","1,228",73.20%,"1,244",746,12,255,703,"1,299","1,244","1,002",722,72.10%,17,89,147,380,864,746,746,664,494,74.40%,108,323,423,12,12,12,12,100.00%,12,503,503,503,448,89.10%,169,48,98,405
WY,904,626,255,40.70%,558,346,0,149,430,474,558,308,113,36.70%,0,97,88,259,299,346,346,318,142,44.70%,61,171,175,0,0,0,0,0.00%,0,123,123,123,8,6.50%,13,0,0,123
Total,"424,432","370,704","287,730",,"221,610","200,623","2,199","68,063","217,462","206,970","221,610","186,656","146,704",,"19,668","32,393","32,878","107,950","113,660","200,623","200,623","181,849","139,053",,"35,185","109,512","91,111","2,199","2,199","2,199","1,973",,"2,199","236,798","236,798","234,267","171,472",,"55,256","33,060","95,353","141,445"

,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
AK,"1,697","1,235",920,74.50%,"1,115",582,0,199,651,"1,046","1,115",730,593,81.20%,0,25,119,442,673,582,582,505,327,64.80%,80,209,373,0,0,0,0,0.00%,0,507,507,507,350,69.00%,62,32,93,414
AL,"4,065","3,515","1,484",42.20%,"1,611","2,420",34,434,"1,349","2,716","1,611","1,294",633,48.90%,56,208,160,505,"1,106","2,420","2,420","2,187",817,37.40%,274,844,"1,576",34,34,34,34,100.00%,34,"2,134","2,134","2,134","1,402",65.70%,443,261,771,"1,363"
AR,"1,802","1,330",994,74.70%,904,898,0,196,604,"1,198",904,576,464,80.60%,0,148,99,289,615,898,898,754,530,70.30%,97,315,583,0,0,0,0,0.00%,0,"1,564","1,564","1,559",750,48.10%,196,212,667,897
AZ,"9,066","7,145","6,028",84.40%,"4,011","5,015",40,"1,540","5,390","3,676","4,011","2,729","2,064",75.60%,61,332,556,"2,017","1,994","5,015","5,015","4,376","3,924",89.70%,984,"3,373","1,642",40,40,40,40,100.00%,40,"3,926","3,926","3,878","3,585",92.40%,738,246,"1,347","2,579"
